This is the output of the program, simple.c. This output was obtained using the
`dmesg` command to print out the contents of the kernel log buffer. The line
"S PID CMD" means state, process ID, command name, respectively. Below that line
is the value of corresponding `struct task_struct` member for each process in
the system. By comparing this  to the output of the `ps -el` command I confirmed
that my program is correct. For instance in the output of the `ps` command we
see

```
F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 -  5727 ep_pol ?        00:00:01 systemd
```

which is consistent with

```
S PID CMD
1 1 systemd
```


/* ******* */
[11292.271331] Dijkstra Loading Module
[11292.271333] S PID CMD
[11292.271335] 1 1 systemd
[11292.271336] 1 2 kthreadd
[11292.271337] 1 3 ksoftirqd/0
[11292.271340] 1 5 kworker/0:0H
[11292.271341] 1 6 kworker/u2:0
[11292.271342] 1 7 rcu_sched
[11292.271343] 1 8 rcu_bh
[11292.271344] 1 9 migration/0
[11292.271345] 1 10 watchdog/0
[11292.271346] 1 11 khelper
[11292.271348] 1 12 kdevtmpfs
[11292.271349] 1 13 netns
[11292.271350] 1 14 khungtaskd
[11292.271351] 1 15 writeback
[11292.271353] 1 16 ksmd
[11292.271354] 1 17 khugepaged
[11292.271355] 1 18 crypto
[11292.271356] 1 19 kintegrityd
[11292.271357] 1 20 bioset
[11292.271359] 1 21 kblockd
[11292.271360] 1 23 kswapd0
[11292.271410] 1 24 fsnotify_mark
[11292.271413] 1 30 kthrotld
[11292.271414] 1 31 ipv6_addrconf
[11292.271415] 1 32 deferwq
[11292.271416] 1 66 khubd
[11292.271418] 1 67 ata_sff
[11292.271419] 1 68 kpsmoused
[11292.271420] 1 70 scsi_eh_0
[11292.271422] 1 71 scsi_tmf_0
[11292.271423] 1 72 scsi_eh_1
[11292.271424] 1 73 kworker/u2:2
[11292.271425] 1 74 scsi_tmf_1
[11292.271426] 1 75 scsi_eh_2
[11292.271427] 1 76 scsi_tmf_2
[11292.271428] 1 82 kworker/0:1H
[11292.271429] 1 105 jbd2/sda1-8
[11292.271430] 1 106 ext4-rsv-conver
[11292.271431] 1 137 kauditd
[11292.271432] 1 142 systemd-journal
[11292.271432] 130 145 systemd-udevd
[11292.271433] 1 197 iprt-VBoxWQueue
[11292.271434] 1 205 ttm_swap
[11292.271435] 1 208 hd-audio0
[11292.271436] 1 404 rpcbind
[11292.271437] 1 413 rpc.statd
[11292.271438] 1 418 rpciod
[11292.271439] 1 420 nfsiod
[11292.271440] 1 427 rpc.idmapd
[11292.271442] 1 429 accounts-daemon
[11292.271443] 1 430 cron
[11292.271444] 1 431 ModemManager
[11292.271446] 1 432 rsyslogd
[11292.271447] 1 433 avahi-daemon
[11292.271448] 1 435 NetworkManager
[11292.271450] 1 438 atd
[11292.271451] 1 441 dbus-daemon
[11292.271453] 1 460 systemd-logind
[11292.271454] 1 467 avahi-daemon
[11292.271456] 1 468 acpid
[11292.271457] 1 474 sshd
[11292.271458] 1 489 cfg80211
[11292.271460] 1 497 iprt
[11292.271461] 1 501 minissdpd
[11292.271462] 1 507 polkitd
[11292.271464] 1 508 cups-browsed
[11292.271466] 1 509 agetty
[11292.271467] 1 577 dhclient
[11292.271468] 1 804 exim4
