oscreader@OSC:project_2_part_2$ ps -eLf
UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root         1     0     1  0    1 13:23 ?        00:00:01 /sbin/init
root         2     0     2  0    1 13:23 ?        00:00:00 [kthreadd]
root         3     2     3  0    1 13:23 ?        00:00:00 [ksoftirqd/0]
root         5     2     5  0    1 13:23 ?        00:00:00 [kworker/0:0H]
root         6     2     6  0    1 13:23 ?        00:00:00 [kworker/u2:0]
root         7     2     7  0    1 13:23 ?        00:00:01 [rcu_sched]
root         8     2     8  0    1 13:23 ?        00:00:00 [rcu_bh]
root         9     2     9  0    1 13:23 ?        00:00:00 [migration/0]
root        10     2    10  0    1 13:23 ?        00:00:00 [watchdog/0]
root        11     2    11  0    1 13:23 ?        00:00:00 [khelper]
root        12     2    12  0    1 13:23 ?        00:00:00 [kdevtmpfs]
root        13     2    13  0    1 13:23 ?        00:00:00 [netns]
root        14     2    14  0    1 13:23 ?        00:00:00 [khungtaskd]
root        15     2    15  0    1 13:23 ?        00:00:00 [writeback]
root        16     2    16  0    1 13:23 ?        00:00:00 [ksmd]
root        17     2    17  0    1 13:23 ?        00:00:00 [khugepaged]
root        18     2    18  0    1 13:23 ?        00:00:00 [crypto]
root        19     2    19  0    1 13:23 ?        00:00:00 [kintegrityd]
root        20     2    20  0    1 13:23 ?        00:00:00 [bioset]
root        21     2    21  0    1 13:23 ?        00:00:00 [kblockd]
root        23     2    23  0    1 13:23 ?        00:00:00 [kswapd0]
root        24     2    24  0    1 13:23 ?        00:00:00 [fsnotify_mark]
root        30     2    30  0    1 13:23 ?        00:00:00 [kthrotld]
root        31     2    31  0    1 13:23 ?        00:00:00 [ipv6_addrconf]
root        32     2    32  0    1 13:23 ?        00:00:00 [deferwq]
root        66     2    66  0    1 13:23 ?        00:00:00 [ata_sff]
root        67     2    67  0    1 13:23 ?        00:00:00 [khubd]
root        68     2    68  0    1 13:23 ?        00:00:00 [kpsmoused]
root        71     2    71  0    1 13:23 ?        00:00:00 [scsi_eh_0]
root        72     2    72  0    1 13:23 ?        00:00:00 [scsi_tmf_0]
root        73     2    73  0    1 13:23 ?        00:00:00 [scsi_eh_1]
root        74     2    74  0    1 13:23 ?        00:00:00 [kworker/u2:2]
root        75     2    75  0    1 13:23 ?        00:00:00 [scsi_tmf_1]
root        76     2    76  0    1 13:23 ?        00:00:00 [scsi_eh_2]
root        77     2    77  0    1 13:23 ?        00:00:00 [scsi_tmf_2]
root        82     2    82  0    1 13:23 ?        00:00:00 [kworker/0:1H]
root       105     2   105  0    1 13:23 ?        00:00:00 [jbd2/sda1-8]
root       106     2   106  0    1 13:23 ?        00:00:00 [ext4-rsv-conver]
root       137     2   137  0    1 13:23 ?        00:00:00 [kauditd]
root       144     1   144  0    1 13:23 ?        00:00:00 /lib/systemd/systemd-udevd
root       153     1   153  0    1 13:23 ?        00:00:09 /lib/systemd/systemd-journald
root       196     2   196  0    1 13:23 ?        00:00:00 [ttm_swap]
root       197     2   197  0    1 13:23 ?        00:00:00 [iprt-VBoxWQueue]
root       201     2   201  0    1 13:23 ?        00:00:00 [hd-audio0]
root       403     1   403  0    1 13:23 ?        00:00:00 /sbin/rpcbind -w
statd      412     1   412  0    1 13:23 ?        00:00:00 /sbin/rpc.statd
root       417     2   417  0    1 13:23 ?        00:00:00 [rpciod]
root       419     2   419  0    1 13:23 ?        00:00:00 [nfsiod]
root       426     1   426  0    1 13:23 ?        00:00:00 /usr/sbin/rpc.idmapd
root       428     1   428  0    3 13:23 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       428     1   456  0    3 13:23 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       428     1   459  0    3 13:23 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       429     1   429  0    1 13:23 ?        00:00:00 /usr/sbin/cron -f
root       430     1   430  0    3 13:23 ?        00:00:00 /usr/sbin/ModemManager
root       430     1   453  0    3 13:23 ?        00:00:00 /usr/sbin/ModemManager
root       430     1   458  0    3 13:23 ?        00:00:00 /usr/sbin/ModemManager
root       431     1   431  0    4 13:23 ?        00:00:00 /usr/sbin/rsyslogd -n
root       431     1   450  0    4 13:23 ?        00:00:00 /usr/sbin/rsyslogd -n
root       431     1   451  0    4 13:23 ?        00:00:00 /usr/sbin/rsyslogd -n
root       431     1   452  0    4 13:23 ?        00:00:00 /usr/sbin/rsyslogd -n
avahi      432     1   432  0    1 13:23 ?        00:00:00 avahi-daemon: running [OSC.local]
root       434     1   434  0    4 13:23 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       434     1   489  0    4 13:23 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       434     1   507  0    4 13:23 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       434     1   508  0    4 13:23 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
daemon     438     1   438  0    1 13:23 ?        00:00:00 /usr/sbin/atd -f
message+   441     1   441  0    1 13:23 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork
avahi      442   432   442  0    1 13:23 ?        00:00:00 avahi-daemon: chroot helper
root       461     1   461  0    1 13:23 ?        00:00:00 /lib/systemd/systemd-logind
root       468     1   468  0    1 13:23 ?        00:00:00 /usr/sbin/acpid
root       473     1   473  0    1 13:23 ?        00:00:00 /usr/sbin/cupsd -f
root       474     1   474  0    1 13:23 ?        00:00:00 /usr/sbin/cups-browsed
root       477     1   477  0    1 13:23 ?        00:00:00 /usr/sbin/sshd -D
root       486     1   486  0    1 13:23 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root       490     1   490  0    3 13:23 ?        00:00:01 /usr/lib/policykit-1/polkitd --no-debug
root       490     1   502  0    3 13:23 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       490     1   503  0    3 13:23 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       496     2   496  0    1 13:23 ?        00:00:00 [iprt]
root       506     2   506  0    1 13:23 ?        00:00:00 [cfg80211]
root       517     1   517  0    1 13:23 ?        00:00:00 /usr/sbin/minissdpd -i 0.0.0.0
root       774   434   774  0    1 13:23 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-h
Debian-+   785     1   785  0    1 13:23 ?        00:00:00 /usr/sbin/exim4 -bd -q30m
root       944     1   944  0    4 13:23 ?        00:00:00 /usr/sbin/gdm3
root       944     1   950  0    4 13:23 ?        00:00:00 /usr/sbin/gdm3
root       944     1   951  0    4 13:23 ?        00:00:00 /usr/sbin/gdm3
root       944     1   954  0    4 13:23 ?        00:00:00 /usr/sbin/gdm3
root       955   944   955  0    1 13:23 tty7     00:00:06 /usr/bin/Xorg :0 -novtswitch -background none -noreset -ve
root      1005     1  1005  0    3 13:23 ?        00:00:00 /usr/lib/upower/upowerd
root      1005     1  1006  0    3 13:23 ?        00:00:00 /usr/lib/upower/upowerd
root      1005     1  1007  0    3 13:23 ?        00:00:00 /usr/lib/upower/upowerd
colord    1014     1  1014  0    3 13:23 ?        00:00:00 /usr/lib/colord/colord
colord    1014     1  1018  0    3 13:23 ?        00:00:00 /usr/lib/colord/colord
colord    1014     1  1019  0    3 13:23 ?        00:00:00 /usr/lib/colord/colord
rtkit     1025     1  1025  0    3 13:23 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1025     1  1026  0    3 13:23 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1025     1  1027  0    3 13:23 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
root      1057     1  1057  0    1 13:23 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root      1058     1  1058  0    3 13:23 ?        00:00:00 /usr/lib/packagekit/packagekitd
root      1058     1  1059  0    3 13:23 ?        00:00:00 /usr/lib/packagekit/packagekitd
root      1058     1  1061  0    3 13:23 ?        00:00:00 /usr/lib/packagekit/packagekitd
root      1074   944  1074  0    3 13:25 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root      1074   944  1075  0    3 13:25 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root      1074   944  1077  0    3 13:25 ?        00:00:00 gdm-session-worker [pam/gdm-password]
oscread+  1079     1  1079  0    1 13:25 ?        00:00:00 /lib/systemd/systemd --user
oscread+  1080  1079  1080  0    1 13:25 ?        00:00:00 (sd-pam)
