[ 3354.343803] Dijkstra Loading Module
               S PID CMD
[ 3354.343807] 1 1 systemd
[ 3354.343808] 1 144 systemd-udevd
[ 3354.343809] 0 15304 systemd-udevd
[ 3354.343811] 1 153 systemd-journal
[ 3354.343812] 1 403 rpcbind
[ 3354.343813] 1 412 rpc.statd
[ 3354.343815] 1 426 rpc.idmapd
[ 3354.343816] 1 428 accounts-daemon
[ 3354.343817] 1 429 cron
[ 3354.343819] 1 430 ModemManager
[ 3354.343820] 1 431 rsyslogd
[ 3354.343821] 1 432 avahi-daemon
[ 3354.343823] 1 442 avahi-daemon
[ 3354.343824] 1 434 NetworkManager
[ 3354.343826] 1 774 dhclient
[ 3354.343827] 1 438 atd
[ 3354.343828] 1 441 dbus-daemon
[ 3354.343830] 1 461 systemd-logind
[ 3354.343831] 1 468 acpid
[ 3354.343832] 1 473 cupsd
[ 3354.343834] 1 474 cups-browsed
[ 3354.343835] 1 477 sshd
[ 3354.343836] 1 1424 sshd
[ 3354.343838] 1 1495 sshd
[ 3354.343839] 1 1496 bash
[ 3354.343840] 1 15302 sudo
[ 3354.343841] 0 15303 insmod
[ 3354.343843] 1 486 agetty
[ 3354.343844] 1 490 polkitd
[ 3354.343845] 1 517 minissdpd
[ 3354.343847] 1 785 exim4
[ 3354.343848] 1 944 gdm3
[ 3354.343849] 1 955 Xorg
[ 3354.343851] 1 1074 gdm-session-wor
[ 3354.343852] 1 1087 x-session-manag
[ 3354.343854] 1 1173 ssh-agent
[ 3354.343855] 1 1214 gnome-settings-
[ 3354.343856] 1 1290 gnome-shell
[ 3354.343858] 1 1330 evolution-alarm
[ 3354.343859] 1 1331 nm-applet
[ 3354.343861] 1 1333 tracker-miner-u
[ 3354.343862] 1 1343 nautilus
[ 3354.343863] 1 1354 tracker-extract
[ 3354.343865] 1 1371 zeitgeist-datah
[ 3354.343866] 1 1377 tracker-miner-f
[ 3354.343868] 1 1388 tracker-miner-a
[ 3354.343869] 1 1394 applet.py
[ 3354.343871] 1 1005 upowerd
[ 3354.343872] 1 1014 colord
[ 3354.343873] 1 1025 rtkit-daemon
[ 3354.343875] 1 1057 wpa_supplicant
[ 3354.343876] 1 1058 packagekitd
[ 3354.343878] 1 1079 systemd
[ 3354.343879] 1 1080 (sd-pam)
[ 3354.343880] 1 1084 gnome-keyring-d
[ 3354.343882] 1 1135 VBoxClient
[ 3354.343883] 1 15266 VBoxClient
[ 3354.343884] 1 1140 VBoxClient
[ 3354.343886] 1 1145 VBoxClient
[ 3354.343887] 1 1153 VBoxClient
[ 3354.343888] 1 1184 dbus-daemon
[ 3354.343890] 1 1176 dbus-launch
[ 3354.343891] 1 1186 dbus-daemon
[ 3354.343893] 1 1180 dbus-launch
[ 3354.343894] 1 1194 at-spi-bus-laun
[ 3354.343895] 1 1198 dbus-daemon
[ 3354.343897] 1 1202 at-spi2-registr
[ 3354.343898] 1 1231 gvfsd
[ 3354.343899] 1 1236 gvfsd-fuse
[ 3354.343901] 1 1229 pulseaudio
[ 3354.343902] 1 1250 start-pulseaudi
[ 3354.343904] 1 1251 xprop
[ 3354.343905] 1 1253 udisksd
[ 3354.343907] 1 1248 gvfs-udisks2-vo
[ 3354.343908] 1 1265 goa-daemon
[ 3354.343909] 1 1262 gvfs-goa-volume
[ 3354.343911] 1 1275 gvfs-gphoto2-vo
[ 3354.343912] 1 1280 gvfs-mtp-volume
[ 3354.343914] 1 1286 gvfs-afc-volume
[ 3354.343915] 1 1274 mission-control
[ 3354.343917] 1 1294 gsd-printer
[ 3354.343918] 1 1317 evolution-sourc
[ 3354.343919] 1 1313 gnome-shell-cal
[ 3354.343921] 1 1339 VBoxClient
[ 3354.343922] 1 1359 VBoxClient
[ 3354.343924] 1 1366 VBoxClient
[ 3354.343925] 1 1375 VBoxClient
[ 3354.343926] 1 1393 zeitgeist-daemo
[ 3354.343928] 1 1399 gconfd-2
